Sukunimi,Yhteensä
Puumalainen,1339
Vatanen,1339
Ojanperä,1338
Manner,1331
Öhman,1330
Saikkonen,1329
Katajamäki,1328
Isotalo,1325
Viljakainen,1325
Kaunisto,1323
Ervasti,1322
Pulli,1322
Putkonen,1322
Peltomaa,1321
Pohjonen,1321
Salovaara,1319
Leivo,1317
Sairanen,1317
Lappi,1315
Kukkola,1313
Nissilä,1313
Juutilainen,1311
Sundberg,1311
Vehviläinen,1310
Kaukonen,1308
Nordman,1308
Naukkarinen,1304
Sipola,1303
Hukkanen,1302
Numminen,1302
Wallin,1299
Kekäläinen,1297
Pynnönen,1296
Kankkunen,1294
Vauhkonen,1294
Heimonen,1292
Olkkonen,1291
Huhta,1287
Kurvinen,1287
Suokas,1287
Tynkkynen,1286
Virkkunen,1286
Oja,1284
Väätäinen,1283
Haikonen,1280
Jämsä,1279
Pihlajamäki,1279
Kervinen,1276
Mutanen,1275
Siltala,1273
Lähde,1269
Holma,1265
Reponen,1260
Vikman,1260
Hurskainen,1259
Kohonen,1259
Mäkeläinen,1259
Vanhatalo,1258
Säkkinen,1255
Malmberg,1254
Palmu,1253
Pylkkänen,1252
Haanpää,1248
Pihlaja,1247
Kaipainen,1243
Lintula,1242
Roos,1242
Blom,1241
Lindell,1239
Ovaska,1238
Haapakoski,1237
Murto,1236
Mannila,1235
Vainikka,1235
Kumpula,1234
Päivinen,1234
Huhtanen,1231
Hintikka,1229
Ovaskainen,1228
Söderholm,1228
Kilpinen,1227
Kiviranta,1226
Kovalainen,1226
Elomaa,1224
Klemetti,1224
Poutiainen,1223
Kupiainen,1219
Rouhiainen,1217
Kuoppala,1216
Jokelainen,1212
Kivi,1212
Vainikainen,1212
Perttula,1211
Ratilainen,1209
Ek,1208
Viinikainen,1207
Himanen,1206
Mielonen,1203
Pietarinen,1203
Suuronen,1201
Raitanen,1198
Rekola,1189
Tarkiainen,1187
Liikanen,1184
Fagerström,1183
Lundberg,1183
Ruokonen,1178
Bergström,1176
Saarenpää,1173
Haapamäki,1170
Leskelä,1169
Janhunen,1168
Sarkkinen,1166
Siivonen,1164
Kannisto,1163
Raappana,1163
Rantamäki,1163
Tuononen,1162
Julkunen,1157
Parikka,1153
Ström,1153
Gröhn,1152
Veijalainen,1152
Granlund,1149
Granholm,1146
Kirjavainen,1146
Junnila,1145
Sundell,1145
Saarikoski,1142
Laatikainen,1141
Marjamäki,1141
Vaara,1141
Vesa,1141
Jalava,1139
Saario,1139
Ripatti,1138
Rahikainen,1137
Nikander,1135
Sarajärvi,1135
Pentikäinen,1134
Tanninen,1132
Palo,1130
Peura,1129
Vänttinen,1129
Myllynen,1128
Äijälä,1128
Varjonen,1127
Majuri,1126
Reunanen,1126
Tölli,1126
Hongisto,1123
Ilomäki,1123
Kemppi,1123
Kauranen,1121
Lyytinen,1121
Westerholm,1119
Häggblom,1117
Kunnari,1117
Martin,1117
Okkonen,1115
Loikkanen,1109
Blomberg,1108
Oksa,1107
Heinänen,1106
Nisula,1106
Rautanen,1106
Juhola,1105
Kesti,1104
Jutila,1101
Åberg,1100
Åkerlund,1100
Kekki,1098
Lampela,1098
Rosenberg,1097
Hulkkonen,1096
Lukkari,1095
Paasonen,1093
Katainen,1088
Ahlgren,1085
Vilén,1084
Östman,1083
Forsberg,1082
Maijala,1082
Niinimäki,1077
Sjöholm,1076
Ristimäki,1074
Korkiakoski,1071
Knuutila,1069
Kolari,1067
Kontkanen,1062
Takkinen,1062
Vornanen,1060
Forss,1059
Kytölä,1055
Lamminen,1055
Söderström,1052
Tissari,1052
Pollari,1050
Sorvari,1047
Ropponen,1045
Tuppurainen,1043
Lundström,1040
Arvola,1039
Heikura,1037
Nilsson,1036
Mäkipää,1031
Bäckman,1030
Vikström,1029
Ijäs,1027
Weckström,1026
Hedman,1025
Metso,1025
Aronen,1024
Roininen,1024
Hirvelä,1022
Myllykoski,1022
Hietamäki,1021
Österberg,1017
Lempiäinen,1014
Similä,1014
Saloranta,1012
Tiitinen,1012
Juutinen,1010
Uutela,1010
Härmä,1007
Kela,1007
Hassan,1006
Malm,1005
Markkula,1005
Puurunen,1005
Korpinen,1001
Kapanen,998
Strömberg,998
Palm,997
Kaasinen,995
Olli,994
Ekström,992
Hintsala,988
Peltokangas,988
Rajaniemi,987
