Etunimi,Lukumäärä
Tytti,"2,348"
Vilja,"2,347"
Tea,"2,308"
Carl,"2,259"
Ilmari,"2,252"
Marina,"2,245"
Senni,"2,242"
Margit,"2,238"
Mirka,"2,235"
Veli-Pekka,"2,231"
Nuutti,"2,229"
Oskar,"2,220"
Selma,"2,210"
Jonas,"2,206"
Rauha,"2,206"
Kiia,"2,196"
Sandra,"2,196"
Anne-Mari,"2,187"
Juha-Matti,"2,186"
Mona,"2,181"
Maritta,"2,159"
Iris,"2,149"
Seela,"2,135"
Nora,"2,134"
Olli-Pekka,"2,133"
Jemina,"2,119"
Harry,"2,089"
John,"2,087"
Kaapo,"2,085"
Kristina,"2,067"
Frida,"2,051"
Hertta,"2,044"
Ulla-Maija,"2,038"
Saila,"2,037"
Rosa,"2,033"
Fanni,"2,019"
Voitto,"2,012"
Alexandra,"2,012"
Jade,"2,012"
Virve,"2,012"
Aurora,"2,008"
Joonatan,"2,003"
Christian,"1,990"
Elsi,"1,990"
Maila,"1,982"
Janika,"1,970"
Natalia,"1,966"
Lahja,"1,964"
Jooa,"1,949"
Sisu,"1,948"
Isabella,"1,933"
Luca,"1,931"
Aija,"1,929"
Wilma,"1,925"
Vanessa,"1,922"
Helka,"1,915"
Fanny,"1,914"
Tino,"1,911"
Susanne,"1,906"
Oscar,"1,901"
Juulia,"1,891"
Janette,"1,890"
Mette,"1,888"
Hilja,"1,886"
Frans,"1,879"
Joakim,"1,878"
Klaus,"1,877"
Minja,"1,858"
Rainer,"1,854"
Alli,"1,852"
Justus,"1,849"
Kasperi,"1,839"
Terho,"1,836"
Taija,"1,834"
William,"1,833"
Katriina,"1,822"
Moona,"1,820"
Heta,"1,816"
Lilli,"1,814"
Tuire,"1,814"
Milo,"1,803"
Paul,"1,798"
Nils,"1,797"
Teijo,"1,795"
Stefan,"1,792"
Urpo,"1,791"
Severi,"1,790"
Rita,"1,786"
Axel,"1,782"
Antero,"1,772"
Maisa,"1,771"
Lari,"1,768"
Hanne,"1,765"
Hannes,"1,760"
Aini,"1,760"
Ali,"1,753"
Iisa,"1,749"
Eemi,"1,744"
Elmo,"1,742"
Joanna,"1,741"
Anders,"1,735"
Vera,"1,721"
Reima,"1,719"
Karin,"1,716"
Janita,"1,715"
Jesper,"1,701"
Vieno,"1,693"
Anette,"1,688"
Reija,"1,685"
Monica,"1,678"
Tommy,"1,664"
Inga,"1,645"
Vappu,"1,642"
Tilda,"1,641"
Eerika,"1,637"
Aarno,"1,631"
Janna,"1,630"
Varpu,"1,614"
Manu,"1,613"
Annikki,"1,606"
Miisa,"1,606"
Riitta-Liisa,"1,606"
Edvin,"1,603"
Ari-Pekka,"1,602"
Kiira,"1,592"
Andreas,"1,590"
Arvi,"1,570"
Eine,"1,566"
Elma,"1,563"
Aarre,"1,560"
Marcus,"1,559"
Karri,"1,553"
Martin,"1,553"
Bengt,"1,550"
Tyyne,"1,542"
Inkeri,"1,527"
Marketta,"1,523"
Anna-Kaisa,"1,522"
Ninni,"1,493"
